Spiller,Kamper,År
Skhelzen Gubetini,15,2008
Mickael Thorvaldsen,20,2008
Emil Sahman,17,2008
Kenth Børresen,20,2008
Stian Bendiksen,15,2008
Robert Nybakk Johansen,14,2008
Refik Kallaba,13,2008
Geir Johnny Augdahl,11,2008
Markus Granly,10,2008
Pål Erik Gustavsen,5,2008
John Olav Johansen,4,2008
Terje Jonassen,3,2008
Tom Roger Hansen,20,2009
Amir Bunjaku,1,2009
Roger Thorvaldsen,3,2009
Joachim Hansen,5,2009
Marius Einarsen,17,2009
Jon Arnesen,17,2009
Hans Petter Thorvaldsen,19,2009
Jon Morten Skåksrud,22,2009
Erik Kristiansen,18,2009
Andreas Broks,10,2009
Fredrik Andorsen,15,2009
Jon Olav Johanesen,5,2009
Markus Granly,18,2009
Pål Erik Gustavsen,19,2009
Kristian Skaftnes,20,2009
Robert Nybakk Johansen,14,2009
Alexander M Moe,17,2009
Ola Thorvaldsen,1,2009
Mathias Larsen,5,2009
Terje Jonassen,3,2009
Jørgen Brostrøm,1,2009
Kenth Børresen,22,2009
Mickael Thorvaldsen,20,2009
Thomas Eriksen,17,2009
Martin Olavesen,7,2009
Tommy Olsen,1,2009
Valon Rexhepi,2,2009
Kamaldeep Chudasama,5,2009
Tom Roger Hansen,18,2010
Roger Thorvaldsen,3,2010
Amir Bunjaki,0,2010
Martin Olavesen,4,2010
Hans Petter Thorvaldsen,19,2010
Jon Morten Skåksrud,19,2010
Petter Stedjeberg,17,2010
Jon Arnesen,13,2010
Andreas Broks,5,2010
Mikkel Wernersen,16,2010
Erik Kristiansen,9,2010
Kristian Hansen,4,2010
Mads Jørgen Nilsen,1,2010
Harald Norgren,6,2010
Kristian Skaftnes,12,2010
Thomas Eriksen,16,2010
Markus Granly,17,2010
Pål Erik Gustavsen,15,2010
Thomas Balterød,9,2010
Mickael Thorvaldsen,17,2010
Kenth Børresen,19,2010
Andreas Jonassen,6,2010
Alexander M Moe,19,2010
Robert Nybakk Johansen,9,2010
Joachim Hansen,14,2010
Terje Jonassen,1,2010
Espen Davidsen,9,2010
Amir Bunjaku,25,2011
Tom Roger Hansen,1,2011
Roger Thorvaldsen,3,2011
Mikkel Wernersen,11,2011
Jon Arnesen,19,2011
Petter Stedjeberg,19,2011
Hans Petter Thorvaldsen,19,2011
Erik Kristiansen,12,2011
Erhan Özdes,15,2011
Joachim Hansen,18,2011
Jon Morten Skåksrud,22,2011
Kristian Skaftnes,19,2011
Markus Granly,19,2011
Robert Nybakk Johansen,17,2011
Andreas Jonassen,24,2011
Thomas Eriksen,8,2011
John Olav Johansen,3,2011
Mickael Thorvaldsen,16,2011
Kenth Børresen,25,2011
Joakim Olsen,24,2011
Martin Olavesen,18,2011
Nicholas W. Hansen,8,2011
Pål Erik Gustavsen,4,2011
Ola Thorvaldsen,17,2011
Adi Grozdanic,2,2011
Alexander M Moe,2,2011
Harald Norgren,1,2011
Jonas Becken,1,2011
Amir Bunjaku,3,2012
Sverre Weel,0,2012
Roger Thorvaldsen,12,2012
Terje Husøy,7,2012
Erik Kristiansen,10,2012
Petter Stedjeberg,17,2012
Ola Thorvaldsen,18,2012
Martin Olavesen,12,2012
Emil Thorvaldsen,15,2012
Nicholas Widnes Hansen,12,2012
Jon Arnesen,11,2012
Alexander M Moe,1,2012
Markus Granly,6,2012
Mikkel Wernersen,18,2012
Joachim Hansen,18,2012
Andreas Jonassen,22,2012
Robert Nybakk Johansen,10,2012
Omid Bagheri,9,2012
Kenth Børresen,20,2012
Elvis,14,2012
Hewar,8,2012
Joakim Olsen,17,2012
John Olav Johansen,1,2012
Simon Jamissen Olsen,9,2012
Refik Kallaba,4,2012
Terje Jonassen,2,2012
Jon Morten Skåksrud,8,2012
Kristian Skaftnes,8,2012
Adi Grozdanic,6,2012
Erhan Özdes,3,2012
Harald Becken,1,2012
Hans Petter Thorvaldsen,7,2012
Jonas Becken,8,2012
Roger Thorvaldsen,10,2013
Amir Bunjaku,14,2013
Håkon Hermansen,1,2013
Hans Petter Thorvaldsen,11,2013
Joachim Hansen,22,2013
Marius Johnsen,16,2013
Jesper Brettengen,1,2013
Mikkel Wernersen,22,2013
Ahmed Mensi,2,2013
Elvis Alimanovic,16,2013
Andreas Jonassen,14,2013
Robert Nybakk Johansen,8,2013
Martin Olavesen,15,2013
Adi Grozdanic,11,2013
Martin Skåksrud,10,2013
Refik Kallaba,1,2013
Jon Arnesen,12,2013
Hewar Tofik,12,2013
Omid Bagheri,8,2013
Kristian Skaftnes,2,2013
Abdul Kader Chaib,10,2013
Giang Ngyuen,11,2013
Nicholas Widnes Hansen,16,2013
Cristoffer Olsen,9,2013
Jon Morten Skåksrud,18,2013
Ola Thorvaldsen,15,2013
Mikal Danielsen,4,2013
Kenth Børresen,12,2013
Mads Moum,7,2013
Jonas Becken,8,2013
Øyvind Knudsen,3,2013
Selvmål,0,2013
Jørgen Brostrøm,1,2013
Martin Fjeld,5,2013
Pål Erik Gustavsen,2,2013
Alexander M Moe,1,2013
Esben Hansen,2,2013
Niklas Bekkevold,9,2014
Roger Thorvaldsen,4,2014
Håkon Hermansen,7,2014
Esben Hansen,14,2014
Christian Hansen,16,2014
Emil Thorvaldsen,16,2014
Jesper Brettengen,13,2014
Mats Friberg,9,2014
Jon Morten Skåksrud,2,2014
Espen Davidsen,15,2014
Martin Olavesen,16,2014
Ola Thorvaldsen,14,2014
Robert N. Johansen,8,2014
Kenth Børresen,18,2014
Thomas Thorvaldsen,12,2014
Joachim Hansen,8,2014
Ibrahim Selaci,11,2014
Thomas Bekkevold,5,2014
Giang Ngyuen,2,2014
Hewar Tofik,1,2014
Hans Petter Thorvald,0,2014
Kamaldeep Chudasama,8,2014
Bau  Qui,0,2014
Mikkel Wernersen,6,2014
Magnus Hansen,3,2014
Martin Skåksrud,1,2014
Erik Kristiansen,2,2014
Andreas Broks,1,2014
Younnes Tabbeck,6,2014
Robin Gulliksen,7,2014
Robin Nyberg,6,2014
Håkon Hermansen,1,2015
Roger Thorvaldsen,1,2015
Chrisse Hansen,22,2015
Robin Nyberg,21,2015
Steinar Timenes,5,2015
Daniel Gautun,4,2015
Christian Hansen,14,2015
Martin Olavesen,23,2015
Espen Davidsen,20,2015
Mats Olav Andersen,21,2015
Markus Wernersen,1,2015
Younnes Gullvåg Tabbech,11,2015
Ola Thorvaldsen,20,2015
Mikkel Wernersen,22,2015
Abdi Islow,2,2015
Rene Johansen,20,2015
Markus Granly,7,2015
Kenth Børresen,23,2015
Robin Gulliksen,16,2015
Munanga Amauri,2,2015
Ibrahim Selaci,7,2015
Mads Jørgen Nilsen,18,2015
Thomas Thorvaldsen,9,2015
Asim,1,2015
Raua,1,2015
Mickael Thorvaldsen,17,2015
Aliayh,2,2015
Roy Freddy Olsen,5,2015
Diako Hamadamin,2,2015
Emil Thorvaldsen,7,2015
Robin Syversen Olsen,3,2015
Selvmål,0,2015
Erik Kristiansen,3,2015
Øyvind Knudsen,8,2015
Arvid Tapia,5,2015
Roger Thorvaldsen,3,2016
Chrisse Hansen,19,2016
Martin Olavesen,19,2016
Robin Nyberg,18,2016
Emil Thorvaldsen,21,2016
Mikkel Wernersen,18,2016
Mats Olav Andersen,13,2016
Roy Freddy Olsen,1,2016
Ola Thorvaldsen,19,2016
Markus Granly,13,2016
Rene Johansen,13,2016
Thomas Thorvaldsen,19,2016
Diako Hamadamin,4,2016
Nichlas Knudsen,6,2016
Kenth Børresen,19,2016
Mickael Thorvaldsen,19,2016
Robin Gulliksen,1,2016
Mads Jørgen Nilsen,12,2016
Joachim Hansen,18,2016
Guilemen Nikuze,1,2016
Munanga Amuri,14,2016
Daniel Gautun,14,2016
Burak Ayaz,3,2016
Younes Tabbech,3,2016
Mathias Karlsen,8,2016
Markus Wernersen,2,2016
Espen Davidsen,5,2016
Axel Gustavsen,4,2016
Chrisse Hansen,23,2017
Martin Olavesen,6,2017
Emil Thorvaldsen,22,2017
Mikkel Wernersen,21,2017
Ola Thorvaldsen,21,2017
Markus Granly,20,2017
Kenth Børresen,21,2017
Mathias Karlsen,22,2017
Mickael Thorvaldsen,8,2017
Thomas Thorvaldsen,23,2017
Joachim Hansen,12,2017
Daniel Gautun,2,2017
Niclas Knudsen,19,2017
Munanga Amuri,19,2017
Markus Wernersen,7,2017
Dilovan,16,2017
Tinius,6,2017
Robin Bråthen,8,2017
Benjamin Høili,1,2017
Nour,2,2017
Stanko Trinic,1,2017
Markus Paulsen,2,2017
Mads Jørgen Nilsen,2,2017
Espen Davidsen,4,2017
Erik Kristiansen,6,2017
Esben Hansen,7,2017
Jon Arnesen,1,2017
Jesper Arnesen,1,2017
Kamaldeep Chudasama,9,2017
Roy Freddy,1,2017
Magnus Tiller,7,2017
Robin Nyberg,5,2017
Chrisse Hansen,26,2018
Mikkel Wernersen,21,2018
Markus Granly,18,2018
Erik Kristiansen,7,2018
Kamaldeep Chudasama,2,2018
Martin Olavesen,25,2018
Mathias Karlsen,25,2018
Mathias Larsen,26,2018
Ola Thorvaldsen,25,2018
Emil Thorvaldsen,22,2018
Thomas Thorvaldsen,19,2018
Kenth Børresen,23,2018
Jan Erik Bårli,4,2018
Mattis Gundrosen,8,2018
Espen Davidsen,8,2018
Isak Solberg,21,2018
Robin Nyberg,19,2018
Ole Kristian Johannessen,2,2018
Roy Freddy Olsen,8,2018
Andre Sahlin Johansen,19,2018
Øyvind Knudsen,1,2018
Mickael Thorvaldsen,15,2018
Anders Weme,1,2018
Roger Thorvaldsen,0,2018
Elliot Skovly,9,2018
Simon Jamissen Olsen,1,2018
Markus Wernersen,5,2018
Jonathan Hølvold,1,2018
Amir Abdi,3,2018
Stian Rusten,2,2018
Selvmål,0,2018
Chrisse Hansen,24,2019
Martin Olavesen,26,2019
Emil Thorvaldsen,18,2019
Robin Nyberg,21,2019
Mikkel Wernersen,24,2019
Ola Thorvaldsen,8,2019
Mathias Karlsen,15,2019
Ole Kristian Johannessen,18,2019
Isak Solberg,24,2019
Kenth Børresen,24,2019
Niclas Knudsen,20,2019
Henrik Leirvik,13,2019
Elliot Skovly,12,2019
Robin Bråthen,15,2019
Jesper Arnesen,16,2019
Espen Davidsen,19,2019
Thomas Thorvaldsen,26,2019
Viktor Tillmann,14,2019
Stian Rusten,6,2019
Ali Jaffar Monsour,8,2019
Auron Sefaraj,2,2019
Jan Erik Bårli,4,2019
Anders Weme,1,2019
Christian Helminsen,2,2019
Birk Skogsrud,1,2019
Markus Granly,8,2019
Elias Christiansen,1,2019
Martin Kalstad Andresen,4,2020
Chrisse Hansen,3,2020
nan,0,2020
Mikkel Wernersen,4,2020
Jesper Arnesen,2,2020
Henrik Leirvik,4,2020
Emil Thorvaldsen,5,2020
Ole Kristian Johannessen,3,2020
Andreas Jonassen,4,2020
Mathias Karlsen,5,2020
Auron Seferaj,2,2020
Isak Solberg,4,2020
Kenth Børresen,4,2020
Mats Olav Andersen,2,2020
Nichlas Knudsen,3,2020
Jon Arnesen,1,2020
Martin Olavesen,3,2020
Robin Braathen,3,2020
Thomas Thorvaldsen,2,2020
Jon Arnesen,1,2020
Ola Thorvaldsen,1,2020
Elliot Skovly,1,2020
Christian Helminsen,1,2020
Peder Svendsen,1,2020
Chrisse Hansen,9,2021
Mikkel Wernersen,9,2021
Emil Thorvaldsen,7,2021
Joachim Hansen,7,2021
Elliot Skovli,8,2021
Ola Thorvaldsen,8,2021
Andreas Jonassen,9,2021
Mathias Larsen,5,2021
Joakim Olsen,9,2021
Kenth Børresen,9,2021
Mathias Karlsen,2,2021
Markus Granly,4,2021
Stian Bergh,7,2021
Jesper Arnesen,5,2021
Henrik Kristiansen,5,2021
Espen Davidsen,5,2021
Marius Sørlie,1,2021
Kåre Jørgen Olseng,4,2021
Selvmål,0,2021
Sander Danielsen,6,2021
Lirim Rufati,4,2021
Thomas Thorvaldsen,2,2021
Chrisse Hansen,4,2022
Robin Nyberg,4,2022
Joachim Hansen,4,2022
Emil Thorvaldsen,3,2022
Sander Danielsen,4,2022
Mikkel Wernersen,4,2022
Andreas Jonassen,4,2022
Mickael Thorvaldsen,3,2022
Ola Thorvaldsen,3,2022
Joakim Olsen,4,2022
Kenth Børresen,4,2022
Roger Thorvaldsen,2,2022
Thomas Thorvaldsen,3,2022
Markus Granly,4,2022
Espen Davidsen,1,2022
Steinar Timenes,3,2022
Martin Bunes Karlsen,1,2022
Elliot Skovly,1,2022
Henrik Kristiansen,2,2022
Chrisse Hansen,22,2022
Martin Bunes,0,2022
Martin Karlstad,2,2022
Emil Thorvaldsen,18,2022
Robin Nyberg,11,2022
Nicklas Knudsen,8,2022
Mikkel Wernersen,17,2022
Andreas Jonassen,21,2022
Kenth Børresen,22,2022
Joachim Hansen,9,2022
Henrik Kristiansen,22,2022
Markus Granly,18,2022
Joakim Olsen,21,2022
Ola Thorvaldsen,15,2022
Sander Danielsen,22,2022
Steinar Timenes,22,2022
Jonas Ulriksen,7,2022
Mickael Thorvaldsen,7,2022
Espen Davidsen,13,2022
Christian Hansen,1,2022
Julius Horgheim,6,2022
Hans Martin Wehler,1,2022
Halvor Andersen,3,2022
Elias Christiansen,2,2022
Kåre Jørgen Olseng,1,2022
Daniel Willadsen,3,2022
Thomas Thorvaldsen,7,2022
Ibrahim Ahmed,10,2022
Casper Jansson,1,2022
Benjamin Willadsen,4,2022
Elliot Skovly,1,2022
Chrisse Hansen,21,2023
Martin Karlstad,2,2023
nan,0,2023
Elliot Skovly,21,2023
Joachim Hansen,17,2023
Emil Thorvaldsen,19,2023
Henrik Kristiansen,5,2023
Sondre Roos,20,2023
Andreas Jonassen,21,2023
Ibrahim Ahmed,21,2023
Halvor Andersen,5,2023
Joakim Olsen,21,2023
Kenth Børresen,20,2023
Robin Nyberg,14,2023
Steinar Timenes,18,2023
Nichlas Knudsen,10,2023
Sander Danielsen,17,2023
Benjamin Willadsen,10,2023
Daniel Willadsen,8,2023
Rene Johansen,17,2023
Victor Tilberg,11,2023
Daniel Evensen,13,2023
Anders Weme,6,2023
Nicolai Leguina,4,2023
Chrisse Hansen,2,2024
Robin Nyberg,23,2024
Anders Fredriksen,5,2024
Joachim Hansen,17,2024
Emil Thorvaldsen,18,2024
Elliot Skovly,8,2024
Sondre Roos,23,2024
Andreas Jonassen,24,2024
Erlend Sira,24,2024
Mats Arntzen,21,2024
Ibrahim Ahmed,25,2024
Andreas Sandvik,16,2024
Henrik Bukkholmen,12,2024
Joakim Olsen,16,2024
Steinar Timenes,3,2024
Viktor Tilberg,9,2024
Rene Johansen,10,2024
Sander Danielsen,16,2024
Kenth Børresen,23,2024
Fabian Vargas Munoz,5,2024
Henrik Kristiansen,11,2024
Eddy Slettum,9,2024
Espen Davidsen,8,2024
Daniel Nygaard,7,2024
Markus Granly,4,2024
Jon Arnesen,4,2024
Robin Gulliksen,4,2024
Ulrick Brostrøm,2,2024
Axel Gustavsen,2,2024
Nicolai Leguina,1,2024
Marcus Syversen,1,2024
Daniel Willadsen,1,2024
Jan Erik Bårli,1,2024
Jørgen Brostrøm,1,2024
Terje Jonassen,1,2024
Tobias Swahn,1,2024
Andreas Brynjeng Sandvik,20,2025
Emil Thorvaldsen,20,2025
Andreas Jonassen,19,2025
Sondre Østbye Roos,19,2025
Robin Nyberg,19,2025
Mats Endre Arntzen,19,2025
Carl Viktor Mikael Tillberg,18,2025
Ali Yasen Abubaker,18,2025
Ola Linqvist Nødtveidt,17,2025
Ibrahim Abdiqadir Ahmed,17,2025
Sander Danielsen,16,2025
Thomas Nygård Olsen,16,2025
Håkon Christian Hermansen,14,2025
Erlend Daniel Sira,13,2025
Muammar Laith Ahmed,12,2025
Anders Støen Aasli,8,2025
Robin Daniel Gulliksen,6,2025
Steinar Timenes,6,2025
Ibragim Rasambekovitsj Vakhaev,4,2025
Jan Erik Bårli,3,2025
Henrik Nørgaard Tholstrup,2,2025
Markus Oliversen Granly,2,2025
Joakim Olsen,1,2025
Henrik Gustav Kristiansen,1,2025
Emil Linqvist Nødtveidt,1,2025
René Johansen,1,2025
Selvmål,0,2025
